id,country_code,year,access_to_clean_water,"Government expenditure on education, total (% of GDP)",unemployment_rate,"Unemployment, total (% of total labor force) (national estimate)"
425,MAF,2022,100.0,,,
426,MAR,2021,100.0,5.64273405075073,10.576,12.28
427,MAR,2022,100.0,5.91224670410156,9.494,11.79
428,MAR,2023,,6.02096939086914,9.044,
429,MCO,2021,100.0,1.41878998279572,,
430,MCO,2022,100.0,1.17324995994568,,
431,MDA,2021,100.0,5.82405996322632,0.785,0.794
432,MDA,2022,100.0,6.11053991317749,0.897,0.909
433,MDA,2023,,6.25268602371216,1.555,1.57
434,MDG,2021,35.1,3.19807553291321,3.487,
435,MDG,2022,36.1,3.13901996612549,3.186,3.186
436,MDG,2023,,,3.069,
437,MDV,2021,100.0,4.61379766464233,5.024,
438,MDV,2022,100.0,4.67344331741333,4.419,
439,MDV,2023,,5.16706371307373,4.241,
440,MEA,2021,97.055627851031,,10.2348915008261,9.05326150150813
441,MEA,2022,97.1470983807294,,9.59898977494279,
442,MEA,2023,,,9.12057231205856,
443,MEX,2021,100.0,4.24952983856201,4.019,4.019
444,MEX,2022,100.0,,3.256,3.256
445,MEX,2023,,,2.765,2.765
446,MHL,2021,99.8,,,9.823
447,MHL,2022,100.0,7.54093980789185,,
448,MIC,2021,94.8381761414164,3.74731349945068,6.24057366273373,6.46191928251887
449,MIC,2022,94.8551931473528,3.58109796047211,5.49003888963743,
450,MIC,2023,,,5.07451236816572,
451,MKD,2021,100.0,,15.801,15.801
452,MKD,2022,100.0,,14.476,14.477
453,MKD,2023,,,13.174,13.174
454,MLI,2021,53.4,4.36370992660522,3.966,
455,MLI,2022,53.0,4.03505516052246,2.387,2.387
456,MLI,2023,,,2.956,
457,MLT,2021,100.0,5.36479997634888,3.394,3.403
458,MLT,2022,100.0,,2.921,2.929
459,MLT,2023,,,3.11,3.11
460,MMR,2021,72.5,,4.34,
461,MMR,2022,73.7,,3.057,
462,MMR,2023,,,3.032,
463,MNA,2021,96.6183164116232,,11.7584549541875,10.4801022269605
464,MNA,2022,96.7125182473811,,11.1820203083755,
465,MNA,2023,,,10.8670875152924,
466,MNE,2021,99.8,,16.543,16.543
467,MNE,2022,100.0,,14.851,14.852
468,MNE,2023,,,14.621,
469,MNG,2021,100.0,3.34389615058899,7.747,7.871
470,MNG,2022,100.0,4.18056726455688,6.211,5.954
471,MNG,2023,,3.74101543426514,5.503,5.178
472,MNP,2021,100.0,,,
473,MNP,2022,100.0,,,
474,MOZ,2021,31.5,6.49789762496948,4.053,
475,MOZ,2022,33.2,6.16198396682739,3.596,6.789
476,MOZ,2023,,,3.519,
477,MRT,2021,47.7,1.891970038414,11.144,
478,MRT,2022,49.0,2.44024252891541,10.531,
479,MRT,2023,,2.64603042602539,10.446,
480,MUS,2021,99.6,4.67151021957397,7.719,7.719
481,MUS,2022,100.0,4.84085988998413,6.322,6.322
482,MUS,2023,,4.56763982772827,5.571,5.571
483,MWI,2021,14.2,,5.662,
484,MWI,2022,14.0,,5.037,
485,MWI,2023,,,5.033,
486,MYS,2021,100.0,4.26109409332275,4.64,4.64
487,MYS,2022,100.0,3.49933791160583,3.93,3.93
488,MYS,2023,,3.62725496292114,3.869,
489,NAC,2021,100.0,5.08844995498657,5.59214283036202,5.59214283036202
490,NAC,2022,100.0,4.13957166671753,3.83340806531303,3.83352065467172
491,NAC,2023,,,3.84181538522376,3.84181538522376
492,NAM,2021,55.2,10.3914480209351,20.922,
493,NAM,2022,56.2,9.67791175842285,19.695,
494,NAM,2023,,9.04451274871826,19.365,
495,NCL,2021,100.0,,11.54,
496,NCL,2022,100.0,,10.71,10.71
497,NCL,2023,,,10.939,
498,NER,2021,18.6,3.82175827026367,0.78,
499,NER,2022,19.5,4.10143089294434,0.418,0.403
500,NER,2023,,,0.425,
501,NGA,2021,59.5,0.381919115781784,5.45,
502,NGA,2022,60.5,0.348516702651978,3.821,3.827
503,NGA,2023,,,3.074,3.074
504,NIC,2021,86.3,4.08665704727173,6.118,
505,NIC,2022,86.5,3.79476308822632,4.961,
506,NIC,2023,,,4.716,
507,NLD,2021,100.0,5.50609016418457,4.209,4.209
508,NLD,2022,100.0,5.05201101303101,3.526,3.526
509,NLD,2023,,,3.537,3.537
510,NOR,2021,100.0,6.9602198600769,4.359,4.359
511,NOR,2022,100.0,3.96801972389221,3.231,3.231
512,NOR,2023,,,3.572,3.573
513,NPL,2021,89.9,3.95612215995789,12.186,
514,NPL,2022,91.3,3.61778378486633,10.844,
515,NPL,2023,,3.68125796318054,10.628,
516,NRU,2021,100.0,6.21887111663818,,5.056
517,NRU,2022,100.0,7.80539798736572,,
518,NZL,2021,100.0,5.54822015762329,3.776,3.776
519,NZL,2022,100.0,5.23012018203735,3.297,3.297
520,NZL,2023,,,3.729,3.731
521,OED,2021,100.0,5.03708982467651,6.19286372183563,6.19087638108577
522,OED,2022,100.0,,4.98675187674652,4.98996050715383
523,OED,2023,,,4.82832486149894,4.82898156053658
524,OMN,2021,100.0,,1.9,1.9
525,OMN,2022,100.0,4.19907999038696,3.3,3.3
526,OMN,2023,,,3.176,
527,OSS,2021,94.5120438097607,4.95368504524231,8.36606234826282,8.51992612302442
528,OSS,2022,94.605657736354,,7.76505567159181,
529,OSS,2023,,,7.41013147956157,
530,PAK,2021,94.9,1.6874612569809,6.338,6.338
531,PAK,2022,95.0,1.97444903850555,5.485,
532,PAK,2023,,1.86864340305328,5.408,
533,PAN,2021,95.3,3.71141004562378,10.177,10.293
534,PAN,2022,95.0,3.36693000793457,8.086,8.281
