id,country_code,year,GDP (constant 2015 US$),gdp,GDP growth (annual %),inflation_rate,trade_balance,Trade in services (% of GDP)
544,PHL,2023,430342487096.573,437146372729.942,5.54585117087767,4.59648506190769,67.3966204439887,17.8294465179059
545,PLW,2021,218291129.848716,235752906.25,-13.7938879740177,5.59286809408013,80.729821331736,21.7668578581945
546,PLW,2022,215413072.557436,255591062.5,-1.31844903330447,9.86330040028969,87.7375749396558,31.5085352407422
547,PLW,2023,219456526.283737,281849062.5,1.87706979817723,8.24167046557693,,
548,PNG,2021,23814388292.8563,26109413522.3081,-0.511353444150672,11.595270333527,,8.62399223309307
549,PNG,2022,25173614536.9108,31647277767.3976,5.70758411822096,15.0288207468673,,9.27800760226146
550,PNG,2023,25937811150.4123,30729242919.4411,3.03570475499642,-3.62211156973066,,8.06157923705026
551,POL,2021,605337233054.782,689170230665.35,6.92718266052501,5.34023602800748,110.874283021945,19.010107252241
552,POL,2022,637150470884.733,695607470875.276,5.25545697386036,10.689577427514,123.021332860345,21.9853877945801
553,POL,2023,638035044435.602,809200697797.088,0.138832754787188,9.54718862520608,110.466778966431,21.6265260863483
554,PRE,2021,1450205801511.39,1439355516489.74,3.19605415216569,6.64074341609775,,8.21985778192614
555,PRE,2022,1510362701048.16,1647527579588.04,4.14816293481037,7.91416641125198,,8.78598193366714
556,PRE,2023,1542591926809.2,1566942319113.72,2.13387325697838,3.92197888518862,,10.0212583421921
557,PRI,2021,92715228856.7798,106426600000.0,0.385222719529239,2.79963990475235,96.7441410324111,
558,PRI,2022,96023410438.3396,113567200000.0,3.56811024720668,3.03307902175796,98.5007114730309,
559,PRI,2023,96564521010.4364,117902300000.0,0.563519426800866,3.23545943820875,101.726938320966,
560,PRT,2021,214984151691.324,256055879091.139,5.55875752305435,2.01977632737365,85.8735452148975,20.405954847335
561,PRT,2022,230002604720.83,256898675068.927,6.98584193827881,5.32749894377305,101.364147310434,27.4979864776005
562,PRT,2023,235813117071.956,289114289663.542,2.52628110806764,6.90236590321598,93.7696270849558,28.2114369556936
